ligand_id,prefix,gene_symbol,binding_terminus,confidence,tier,peptide_name,pdb_c_term_burial
OG0094,PACA,ADCYAP1,C-terminus,high,High,Pituitary adenylate cyclase-activating polypeptide 27,
OG0151,PACA,ADCYAP1,C-terminus,high,High,Pituitary adenylate cyclase-activating polypeptide 38,
OG0178,PACA,ADCYAP1,C-terminus,high,High,PACAP-related peptide,
OG0185,ADML,ADM,C-terminus,high,High,Adrenomedullin,
OG0157,ADM2,ADM2,C-terminus,high,High,Intermedin-short,
OG0173,ADM2,ADM2,C-terminus,high,High,Adrenomedullin-2,
GS0347,NEU2,AVP,C-terminus,high,High,Neurophysin 2,
OG0018,NEU2,AVP,C-terminus,high,High,Arg-vasopressin,
OG0155,NEU2,AVP,C-terminus,high,High,Copeptin,
OG0144,CALCA,CALCA,C-terminus,high,High,Calcitonin gene-related peptide 1,
OG0145,CALCB,CALCB,C-terminus,high,High,Calcitonin gene-related peptide 2,
GS0052,CCKN,CCK,C-terminus,high,High,Cholecystokinin,
GS0075,CD40L,CD40LG,C-terminus,moderate,High,"CD40 ligand, soluble form",
GS0076,CD40L,CD40LG,C-terminus,moderate,High,"CD40 ligand (CD40-L) (T-cell antigen Gp39) (TNF-related activation protein) (TRAP) (Tumor necrosis factor ligand superfamily member 5) (CD antigen CD154) [Cleaved into: CD40 ligand, membrane form; CD40 ligand, soluble form (sCD40L)]",
OG0160,CRF,CRH,C-terminus,high,High,Corticoliberin,
GS0147,DKK1,DKK1,Both termini,moderate,High,Dickkopf-related protein 1,
GS0152,EDA,EDA,C-terminus,moderate,High,"Ectodysplasin-A, secreted form",
GS0153,EDA,EDA,C-terminus,moderate,High,"Ectodysplasin-A (Ectodermal dysplasia protein) (EDA protein) [Cleaved into: Ectodysplasin-A, membrane form; Ectodysplasin-A, secreted form]",
OG0008,GAST,GAST,C-terminus,high,High,Gastrin-6,
OG0040,GAST,GAST,C-terminus,high,High,Gastrin-14,
OG0051,GAST,GAST,C-terminus,high,High,Gastrin,
OG0134,GAST,GAST,C-terminus,high,High,Big gastrin,
OG0186,GAST,GAST,C-terminus,high,High,Gastrin-52,
OG0263,GAST,GAST,C-terminus,high,High,Gastrin-71,
OG0106,GLUC,GCG,C-terminus,high,High,Glucagon,
OG0111,GLUC,GCG,C-terminus,high,High,Glicentin-related polypeptide,
OG0112,GLUC,GCG,C-terminus,high,High,Glucagon-like peptide 1(7-36),
OG0119,GLUC,GCG,C-terminus,high,High,Glucagon-like peptide 1(7-37),
