Ligand ID,Entry Name,prefix,Top Gene Name,binding_terminus,confidence,tier
GS0001,A4_HUMAN,A4,APP,Unknown,none,Unclassified
GS0002,A4_HUMAN,A4,APP,Unknown,none,Unclassified
GS0003,A4_HUMAN,A4,APP,Unknown,none,Unclassified
GS0004,A4_HUMAN,A4,APP,Unknown,none,Unclassified
GS0005,A4_HUMAN,A4,APP,Unknown,none,Unclassified
GS0006,A4_HUMAN,A4,APP,Unknown,none,Unclassified
GS0010,ADIPO_HUMAN,ADIPO,ADIPOQ,Unknown,none,Unclassified
GS0018,AMELX_HUMAN,AMELX,AMELX,Unknown,none,Unclassified
GS0020,AMRP_HUMAN,AMRP,LRPAP1,Unknown,none,Unclassified
GS0021,ANFB_HUMAN,ANFB,NPPB,Unknown,none,Unclassified
GS0022,ANGL3_HUMAN,ANGL3,ANGPTL3,Unknown,none,Unclassified
GS0023,ANGL3_HUMAN,ANGL3,ANGPTL3,Unknown,none,Unclassified
GS0024,ANGL3_HUMAN,ANGL3,ANGPTL3,Unknown,none,Unclassified
GS0026,APOA1_HUMAN,APOA1,APOA1,Unknown,none,Unclassified
GS0028,APOA2_HUMAN,APOA2,APOA2,Unknown,none,Unclassified
GS0029,APOA2_HUMAN,APOA2,APOA2,Unknown,none,Unclassified
GS0031,AREG_HUMAN,AREG,AREG,Neither (structural surface),low,Low
GS0032,ARTN_HUMAN,ARTN,ARTN,Neither (structural surface),high,Low
GS0033,ASIP_HUMAN,ASIP,ASIP,Unknown,none,Unclassified
GS0034,BDNF_HUMAN,BDNF,BDNF,Unknown,none,Unclassified
GS0035,BMP1_HUMAN,BMP1,BMP1,Neither (structural surface),low,Low
GS0036,BMP10_HUMAN,BMP10,BMP10,Neither (structural surface),moderate,Low
GS0037,BMP15_HUMAN,BMP15,BMP15,Neither (structural surface),moderate,Low
GS0038,BMP2_HUMAN,BMP2,BMP2,Neither (structural surface),moderate,Low
GS0039,BMP3_HUMAN,BMP3,BMP3,Neither (structural surface),moderate,Low
GS0040,BMP4_HUMAN,BMP4,BMP4,Neither (structural surface),moderate,Low
GS0041,BMP5_HUMAN,BMP5,BMP5,Neither (structural surface),moderate,Low
GS0043,BMP7_HUMAN,BMP7,BMP7,Neither (structural surface),moderate,Low
GS0044,BMP8A_HUMAN,BMP8A,BMP8A,Neither (structural surface),moderate,Low
GS0052,CCKN_HUMAN,CCKN,CCK,C-terminus,high,High
GS0053,CCL11_HUMAN,CCL11,CCL11,N-terminus,moderate,Low
GS0054,CCL13_HUMAN,CCL13,CCL13,N-terminus,moderate,Low
GS0055,CCL13_HUMAN,CCL13,CCL13,N-terminus,moderate,Low
GS0057,CCL14_HUMAN,CCL14,CCL14,N-terminus,moderate,Low
GS0059,CCL16_HUMAN,CCL16,CCL16,N-terminus,moderate,Low
GS0060,CCL19_HUMAN,CCL19,CCL19,N-terminus,moderate,Low
GS0061,CCL2_HUMAN,CCL2,CCL2,N-terminus,moderate,Low
GS0062,CCL21_HUMAN,CCL21,CCL21,N-terminus,moderate,Low
GS0067,CCL25_HUMAN,CCL25,CCL25,N-terminus,moderate,Low
GS0068,CCL27_HUMAN,CCL27,CCL27,N-terminus,moderate,Low
GS0069,CCL28_HUMAN,CCL28,CCL28,N-terminus,moderate,Low
GS0070,CCL7_HUMAN,CCL7,CCL7,N-terminus,moderate,Low
GS0071,CCL8_HUMAN,CCL8,CCL8,N-terminus,moderate,Low
GS0072,CCN3_HUMAN,CCN3,CCN3,Unknown,none,Unclassified
GS0075,CD40L_HUMAN,CD40L,CD40LG,C-terminus,moderate,High
GS0076,CD40L_HUMAN,CD40L,CD40LG,C-terminus,moderate,High
GS0082,CER1_HUMAN,CER1,CER1,Neither (structural surface),low,Low
GS0087,CKLF_HUMAN,CKLF,CKLF,N-terminus,moderate,Low
GS0097,CLCF1_HUMAN,CLCF1,CLCF1,Neither (structural surface),low,Low
